fips,county,hpsa_designated,hpsa_score,designation_types,verified,source
51001,Accomack,true,21,Federally Qualified Health Center|HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51005,Alleghany,true,17,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51007,Amelia,true,16,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51009,Amherst,true,16,"HPSA Population|Indian Health Service, Tribal Health, and Urban Indian Health Organizations",true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51011,Appomattox,true,16,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51013,Arlington,true,9,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51015,Augusta,true,8,Correctional Facility|Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51017,Bath,true,17,High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51019,Bedford,true,12,High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51021,Bland,true,19,Correctional Facility|Federally Qualified Health Center|Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51023,Botetourt,true,16,High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51025,Brunswick,true,9,Correctional Facility|High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51027,Buchanan,true,21,Correctional Facility|High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51029,Buckingham,true,25,Correctional Facility|Federally Qualified Health Center|High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51031,Campbell,true,16,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51033,Caroline,true,12,Correctional Facility,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51035,Carroll,true,21,Federally Qualified Health Center|HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51037,Charlotte,true,18,High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51045,Craig,true,10,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51047,Culpeper,true,11,Correctional Facility|High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51049,Cumberland,true,16,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51051,Dickenson,true,19,High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51053,Dinwiddie,true,13,High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51057,Essex,true,11,High Needs Geographic HPSA,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51059,Fairfax,true,21,Federally Qualified Health Center|HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51063,Floyd,true,16,HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51067,Franklin,true,15,High Needs Geographic HPSA|Rural Health Clinic,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51069,Frederick,true,15,HPSA Population|Rural Health Clinic,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51071,Giles,true,17,Geographic HPSA|Rural Health Clinic,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
51077,Grayson,true,18,Correctional Facility|HPSA Population,true,HRSA BCD_HPSA_FCT_DET_DH.xlsx as of June 26 2026
